================================================================================
Active Author Analysis Report (All conferences)
================================================================================

Criteria:
  - At least 2 first OR last author positions, OR
  - At least 4 middle author positions

Total papers: 46,004
Total unique authors: 82,387
Active authors: 20,170 (24.5%)
Inactive authors: 62,217 (75.5%)

================================================================================
Active Authors (sorted by total papers)
================================================================================

Rank     Author Name                                        Total    First    Last     Middle  
--------------------------------------------------------------------------------
1        Yang Liu                                           229      25       88       116     
2        Yu Qiao                                            167      1        32       134     
3        Lei Zhang                                          138      5        77       56      
4        Min Zhang                                          133      3        83       47      
5        Bo Li                                              131      8        36       87      
6        Yi Yang                                            130      1        86       43      
7        Jie Zhou                                           124      0        37       87      
8        Dacheng Tao                                        121      0        98       23      
9        Hao Chen                                           120      14       22       84      
10       Junchi Yan                                         117      0        90       27      
11       Qi Zhang                                           116      14       17       85      
12       Ziwei Liu                                          113      0        63       50      
13       Hongsheng Li                                       110      0        65       45      
14       Jian Yang                                          106      5        39       62      
15       Hao Zhang                                          103      12       19       72      
16       Yu Wang                                            102      17       31       54      
17       Chen Chen                                          101      10       20       71      
18       Ying Shan                                          100      0        34       66      
19       Xin Li                                             98       9        2        87      
20       Tongliang Liu                                      98       0        51       47      
21       Tong Zhang                                         95       3        56       36      
22       Dahua Lin                                          93       0        28       65      
23       Rui Wang                                           92       11       16       65      
24       Ping Luo                                           92       0        47       45      
25       Ming-Hsuan Yang                                    92       0        44       48      
26       Zhangyang Wang                                     90       0        28       62      
27       Yu Liu                                             89       6        16       67      
28       Wei Zhang                                          88       3        12       73      
29       Xiang Li                                           88       17       8        63      
30       Xinchao Wang                                       88       0        75       13      
31       Bo Han                                             88       0        34       54      
32       Yong Liu                                           87       11       39       37      
33       Xin Wang                                           84       10       18       56      
34       Hao Wang                                           84       12       22       50      
35       Marc Pollefeys                                     84       0        17       67      
36       Rongrong Ji                                        84       0        77       7       
37       Mohit Bansal                                       83       0        47       36      
38       Wei Wang                                           83       7        25       51      
39       Li Shen                                            83       1        6        76      
40       Luc Van Gool                                       83       0        44       39      
41       Kun Zhang                                          82       2        58       22      
42       Wei Li                                             81       16       6        59      
43       Zhiyuan Liu                                        81       3        4        74      
44       Fei Huang                                          81       0        11       70      
45       Kai Chen                                           80       9        18       53      
46       Jun Liu                                            78       0        47       31      
47       Tat-Seng Chua                                      78       0        58       20      
48       Yejin Choi                                         77       1        31       45      
49       Mike Zheng Shou                                    77       0        57       20      
50       Yu Zhang                                           76       12       21       43      
51       Peng Wang                                          76       13       7        56      
52       Jun Zhu                                            76       0        54       22      
53       Lei Li                                             75       10       23       42      
54       Zhou Zhao                                          74       0        55       19      
55       Jing Zhang                                         73       4        17       52      
56       Kai-Wei Chang                                      73       0        21       52      
57       Yang Zhang                                         73       4        19       50      
58       Zheng Zhang                                        73       8        20       45      
59       Maosong Sun                                        73       0        52       21      
60       Wei Liu                                            72       18       8        46      
61       Jingdong Wang                                      72       0        30       42      
62       Bo Dai                                             72       1        31       40      
63       Yue Zhang                                          71       6        35       30      
64       Furu Wei                                           71       0        47       24      
65       Chao Zhang                                         71       1        24       46      
66       Jun Wang                                           71       3        20       48      
67       Kai Zhang                                          71       4        8        59      
68       Wanli Ouyang                                       71       0        22       49      
69       Hao Li                                             69       23       5        41      
70       Yue Wang                                           69       7        14       48      
71       Yujun Shen                                         68       0        9        59      
72       Feng Liu                                           68       6        12       50      
73       Yanfeng Wang                                       67       0        38       29      
74       Jiwen Lu                                           67       0        49       18      
75       Jiajun Wu                                          67       0        35       32      
76       Yulun Zhang                                        67       3        9        55      
77       Sergey Levine                                      67       0        30       37      
78       Xiangyang Ji                                       66       0        34       32      
79       Chang Liu                                          65       14       2        49      
80       Wei Chen                                           65       9        14       42      
81       Qi Liu                                             65       2        23       40      
82       Bernhard Schölkopf                                 65       0        33       32      
83       Yan Wang                                           65       6        11       48      
84       Philip Torr                                        65       0        7        58      
85       Yoshua Bengio                                      65       0        24       41      
86       Xiaokang Yang                                      65       0        30       35      
87       Stefano Ermon                                      65       0        33       32      
88       Xipeng Qiu                                         64       0        39       25      
89       Nanyun Peng                                        64       0        40       24      
90       Yang Yang                                          64       8        20       36      
91       Trevor Darrell                                     64       0        17       47      
92       Chen Change Loy                                    64       0        44       20      
93       Chang Xu                                           64       1        50       13      
94       Quanquan Gu                                        64       0        49       15      
95       Heng Huang                                         63       0        42       21      
96       Heng Ji                                            62       0        31       31      
97       Caiming Xiong                                      62       0        8        54      
98       Zhenguo Li                                         62       0        8        54      
99       Minlie Huang                                       61       0        35       26      
100      Yang Li                                            61       12       6        43      
101      Hang Su                                            61       1        5        55      
102      Xiang Wang                                         61       4        8        49      
103      Xiangyu Zhang                                      60       3        33       24      
104      Xuanjing Huang                                     59       0        35       24      
105      Iryna Gurevych                                     59       0        47       12      
106      Tianlong Chen                                      59       2        18       39      
107      Hanwang Zhang                                      59       0        31       28      
108      Chuang Gan                                         59       0        44       15      
109      Graham Neubig                                      58       0        26       32      
110      Xin Liu                                            58       10       6        42      
111      Jie Chen                                           58       6        27       25      
112      Gao Huang                                          58       0        37       21      
113      Xi Chen                                            58       11       3        44      
114      Limin Wang                                         58       1        43       14      
115      Fahad Shahbaz Khan                                 58       0        34       24      
116      Bin Wang                                           57       5        10       42      
117      Yujiu Yang                                         57       0        23       34      
118      Xiaodan Liang                                      57       0        32       25      
119      Bo Zhang                                           57       3        5        49      
120      Sergey Tulyakov                                    57       0        17       40      
121      Jian Zhang                                         57       2        26       29      
122      Zhaoxiang Zhang                                    57       0        31       26      
123      Hang Xu                                            57       6        11       40      
124      Jianfeng Gao                                       56       0        19       37      
125      Ji-Rong Wen                                        56       0        46       10      
126      Jing Liu                                           56       1        19       36      
127      Volkan Cevher                                      56       1        43       12      
128      Pin-Yu Chen                                        56       0        7        49      
129      Li Zhang                                           56       3        29       24      
130      Leonidas Guibas                                    56       0        20       36      
